Month,Category,Time most users are viewing,Location with km radius ,Gender,Age,Language,Video Duration,Video quality
7,Clothing,10.95,497,Female,29,Irish Gaelic,26.65,1080
6,Garden,13.27,264,Female,32,Hiri Motu,21.06,1080
1,Home,8.03,204,Male,40,Swedish,10.42,1080
5,Baby,23.26,903,Female,30,Luxembourgish,8.32,1080
1,Automotive,16.83,309,Female,28,Greek,0.99,1080
5,Kids,18.51,998,Female,40,Irish Gaelic,7.03,1080
9,Baby,25.82,847,Male,36,Indonesian,17.72,1080
3,Grocery,6.73,522,Male,17,German,14.45,1080
1,Clothing,18.46,215,Female,30,Nepali,15.22,1080
9,Grocery,26.73,881,Genderqueer,27,Afrikaans,4.24,1080
10,Health,6.7,495,Female,18,Quechua,14.36,1080
5,Electronics,29.81,409,Female,34,West Frisian,15.83,1080
4,Computers,4.6,628,Male,25,Swedish,20.02,1080
6,Tools,9.12,885,Male,25,Kurdish,14.88,1080
10,Clothing,3.62,742,Male,19,Tsonga,21.79,1080
11,Baby,29.66,648,Female,22,Italian,14.1,1080
5,Toys,22.05,321,Male,19,Afrikaans,10.62,1080
7,Baby,21.76,448,Male,30,Estonian,15.99,1080
7,Music,19.86,293,Non-binary,18,Khmer,9.78,1080
5,Computers,19.35,826,Female,16,Moldovan,10.11,1080
1,Clothing,26.88,95,Female,39,Romanian,24.71,1080
9,Automotive,13.72,599,Bigender,35,Dutch,18.78,1080
3,Computers,16.81,184,Female,32,Georgian,0.87,1080
9,Home,6.75,68,Male,21,Portuguese,20.35,1080
10,Beauty,28.09,895,Male,24,Thai,23.02,1080
11,Shoes,20.75,758,Female,20,Lao,25.73,1080
12,Sports,29.62,4,Male,19,Kannada,0.24,1080
3,Industrial,19.19,930,Female,19,Punjabi,11.65,1080
11,Shoes,1.85,953,Female,31,Irish Gaelic,21.4,1080
11,Games,29.03,50,Female,40,Papiamento,9.9,1080
5,Automotive,19.75,549,Female,18,Tamil,28.52,1080
11,Automotive,8.44,871,Male,22,Lao,3.99,1080
1,Movies,6.47,669,Polygender,29,Aymara,21.04,1080
11,Music,22.44,540,Male,36,Albanian,20.18,1080
3,Grocery,5.11,170,Female,21,Kannada,15.86,1080
3,Grocery,29.24,670,Male,40,Swedish,6.64,1080
9,Movies,14.34,545,Male,20,Czech,25.13,1080
3,Games,0.39,264,Female,21,Persian,4.78,1080
8,Outdoors,12.67,393,Female,37,Kashmiri,15.28,1080
6,Outdoors,5.35,824,Female,40,Malagasy,5.77,1080
3,Books,1.67,217,Male,29,Chinese,27.41,1080
4,Music,12.33,957,Female,34,Guaraní,5.79,1080
7,Outdoors,14.64,471,Agender,24,Dzongkha,4.52,1080
8,Outdoors,26.19,425,Male,40,Tetum,14.47,1080
10,Beauty,16.74,690,Male,37,Portuguese,14.85,1080
6,Home,22.81,991,Male,30,Irish Gaelic,2.62,1080
5,Outdoors,7.39,218,Female,17,Somali,14.53,1080
6,Books,29.86,934,Male,29,Nepali,6.49,1080
2,Baby,11.02,408,Female,18,Italian,24.14,1080
1,Shoes,6.82,309,Male,21,Mongolian,17.54,1080
1,Games,0.42,927,Male,29,Montenegrin,21.7,1080
7,Sports,16.15,596,Agender,35,Gujarati,2.37,1080
4,Movies,27.77,958,Female,23,Montenegrin,22.63,1080
5,Sports,20.6,790,Female,22,Macedonian,24.86,1080
5,Books,25.53,398,Female,30,Somali,24.99,1080
4,Clothing,18.29,260,Female,21,Tok Pisin,10.85,1080
10,Tools,26.25,58,Female,26,Lithuanian,16.71,1080
8,Books,19.96,448,Female,36,Papiamento,6.12,1080
9,Games,10.82,280,Male,38,Korean,29.63,1080
4,Grocery,14.98,791,Female,21,Quechua,6.26,1080
11,Garden,26.55,7,Female,18,Japanese,8.83,1080
4,Books,9.48,600,Female,20,Dzongkha,27.27,1080
7,Shoes,12.41,734,Male,39,Afrikaans,11.88,1080
6,Clothing,8.51,315,Female,39,Estonian,25.42,1080
8,Movies,21.17,361,Male,24,Hungarian,20,1080
4,Movies,3.48,470,Male,35,Irish Gaelic,4.05,1080
6,Games,14.86,434,Male,32,Ndebele,9.62,1080
10,Industrial,13.17,194,Male,16,Quechua,25.77,1080
6,Home,20.27,508,Female,21,Montenegrin,22.7,1080
2,Clothing,11.15,292,Male,40,Polish,6.56,1080
11,Toys,21.96,405,Female,19,New Zealand Sign Language,7.57,1080
1,Baby,13.49,229,Female,27,Assamese,3.39,1080
9,Tools,28.63,400,Female,36,Hebrew,20.37,1080
4,Games,20.78,485,Female,16,Gagauz,2.35,1080
8,Books,21.06,448,Female,20,Bosnian,17.36,1080
9,Toys,22.56,805,Male,39,Romanian,4.02,1080
5,Books,11.42,184,Male,37,Lithuanian,20.06,1080
8,Garden,29.71,812,Male,26,Assamese,28.53,1080
5,Movies,11.75,319,Female,28,Dari,1.3,1080
5,Electronics,16.41,438,Female,35,Aymara,4.31,1080
9,Garden,19.29,386,Female,39,French,10.13,1080
3,Books,15.79,936,Female,36,Quechua,15.81,1080
2,Music,24.62,200,Male,21,Armenian,15.49,1080
2,Grocery,26.18,842,Bigender,36,Korean,18.2,1080
9,Tools,15.32,43,Female,16,Estonian,9.35,1080
9,Electronics,21.93,500,Male,39,Gujarati,19.83,1080
8,Jewelry,4.66,424,Female,25,Azeri,7.77,1080
5,Kids,12.81,72,Male,34,Oriya,15.99,1080
5,Clothing,20.45,748,Male,30,German,22.8,1080
8,Industrial,15.27,476,Female,16,Dhivehi,13.88,1080
2,Books,24.32,957,Male,30,Hiri Motu,5.45,1080
8,Movies,10.77,659,Female,39,Albanian,14.06,1080
6,Kids,3.82,69,Female,21,Dutch,8.5,1080
10,Electronics,24.04,158,Non-binary,36,Finnish,1.32,1080
11,Computers,6.09,677,Male,17,Maltese,6.95,1080
11,Grocery,0.91,765,Female,25,Bosnian,12.17,1080
1,Sports,4.34,746,Male,19,Chinese,11.93,1080
12,Grocery,15.03,41,Female,24,Dari,6.67,1080
3,Games,18.76,552,Male,32,New Zealand Sign Language,7.01,1080
10,Tools,11.46,192,Female,36,Guaraní,9.32,1080
4,Automotive,11.54,54,Female,25,Swati,23.73,1080
7,Sports,6.1,586,Genderfluid,21,Lao,13.71,1080
1,Sports,14.32,50,Male,17,Albanian,11.99,1080
2,Clothing,19.42,301,Male,30,Punjabi,1.56,1080
7,Grocery,23.19,348,Female,17,Portuguese,27.16,1080
3,Garden,26.66,185,Female,23,Danish,11.72,1080
11,Clothing,18.48,311,Female,25,Punjabi,10.48,1080
10,Tools,17.37,460,Male,38,Indonesian,20.65,1080
10,Clothing,2.19,731,Male,33,Bosnian,4.47,1080
3,Outdoors,6.79,513,Female,30,Chinese,18.07,1080
7,Computers,8.12,556,Male,20,Gujarati,5.8,1080
3,Tools,8.01,265,Female,36,Montenegrin,3.94,1080
9,Games,23.98,384,Female,37,Ndebele,19.05,1080
7,Home,17.1,80,Male,23,Hungarian,21.14,1080
10,Health,13.05,287,Male,25,Latvian,1.42,1080
9,Jewelry,18.82,702,Male,25,Dhivehi,16.1,1080
9,Movies,23.95,599,Female,28,Burmese,15.26,1080
7,Industrial,25.14,207,Male,36,Guaraní,11.15,1080
3,Grocery,16.73,652,Male,34,Hungarian,20.43,1080
1,Toys,25.32,853,Male,21,Lao,28.25,1080
10,Industrial,8.32,887,Female,24,Assamese,10.53,1080
5,Music,14.4,712,Female,40,Zulu,12.51,1080
8,Toys,15.38,320,Female,36,Dzongkha,8.57,1080
9,Kids,24.84,226,Male,25,Nepali,14.06,1080
4,Industrial,9.96,704,Female,32,Tetum,26.13,1080
5,Tools,16.48,611,Male,38,Irish Gaelic,21.23,1080
10,Beauty,10.44,796,Polygender,25,Aymara,9.02,1080
5,Movies,26.74,993,Female,28,Zulu,28.67,1080
2,Home,6.49,21,Female,22,Polish,6.57,1080
12,Tools,19.78,175,Female,26,Belarusian,19.72,1080
1,Sports,22.88,699,Male,37,Dari,0.56,1080
6,Automotive,16.02,934,Female,30,Bosnian,20.3,1080
5,Automotive,21.22,576,Male,25,Punjabi,9.42,1080
3,Shoes,18.51,151,Female,33,Malayalam,22.02,1080
6,Baby,19.12,377,Female,25,Northern Sotho,29.19,1080
5,Sports,9.39,94,Male,26,Kazakh,27.07,1080
5,Shoes,21.14,412,Male,23,Danish,14.84,1080
2,Tools,24.57,657,Female,37,Yiddish,4.17,1080
4,Sports,12.85,956,Male,22,Burmese,22.27,1080
10,Games,10.92,708,Female,16,Polish,20.91,1080
1,Health,21.99,279,Male,35,Haitian Creole,13.99,1080
9,Grocery,24.38,310,Female,21,West Frisian,0.35,1080
12,Industrial,2.65,568,Female,38,Ndebele,24.36,1080
7,Beauty,20.73,544,Male,24,Kazakh,1,1080
12,Books,2.06,398,Male,24,Swedish,1.48,1080
7,Movies,0.29,546,Male,30,Nepali,25.39,1080
12,Music,22.37,276,Female,24,Papiamento,8.17,1080
3,Electronics,18.54,507,Male,21,Chinese,24.8,1080
2,Jewelry,4.61,630,Female,27,Oriya,10.01,1080
3,Electronics,6.76,345,Female,38,Dzongkha,11.39,1080
8,Garden,14.4,188,Female,31,Pashto,28.7,1080
12,Tools,13,513,Female,35,Greek,16.2,1080
9,Electronics,8.61,245,Female,23,Danish,21.24,1080
12,Electronics,5.13,516,Genderqueer,37,Afrikaans,28.41,1080
11,Automotive,14.06,160,Male,21,Marathi,4.9,1080
4,Sports,11.84,156,Male,19,Albanian,25.89,1080
3,Beauty,27.67,171,Male,26,Tsonga,2.06,1080
3,Games,29.49,896,Female,37,Gujarati,18.03,1080
10,Baby,6.71,978,Male,35,Gagauz,18.63,1080
12,Clothing,20.67,447,Non-binary,29,Kannada,10.91,1080
11,Shoes,18.09,18,Female,29,Latvian,5.52,1080
10,Jewelry,27.7,214,Male,34,Lithuanian,7.92,1080
1,Automotive,18.63,307,Female,32,Assamese,21.4,1080
9,Tools,13.99,161,Female,16,Kannada,20.17,1080
8,Jewelry,18.45,732,Female,40,Norwegian,21.41,1080
6,Health,15.05,199,Male,28,Montenegrin,29.77,1080
4,Garden,11.25,408,Female,16,Spanish,28.37,1080
12,Industrial,9.31,226,Male,28,Italian,4.55,1080
1,Books,0.14,245,Female,36,Papiamento,2.48,1080
5,Electronics,13.08,974,Non-binary,29,Swahili,25.6,1080
11,Grocery,19.87,510,Female,25,Icelandic,17.83,1080
1,Clothing,0.58,627,Female,29,Thai,13.54,1080
10,Shoes,7.49,26,Female,22,Gagauz,24.35,1080
6,Health,9.99,389,Male,18,Finnish,3.41,1080
1,Shoes,6.04,830,Female,24,Swati,12.42,1080
6,Clothing,20.09,395,Male,18,Albanian,29.53,1080
9,Music,4.99,883,Male,34,German,16.95,1080
9,Music,8.55,638,Female,20,Swedish,2.64,1080
8,Games,11.34,858,Male,32,New Zealand Sign Language,7.81,1080
1,Beauty,9.57,48,Female,35,Polish,21.76,1080
1,Electronics,18.08,616,Male,23,Spanish,21.19,1080
8,Music,4.59,11,Male,38,Lao,24.23,1080
2,Tools,22.64,251,Male,38,Hiri Motu,19.79,1080
1,Toys,24.51,625,Female,29,Portuguese,0.62,1080
7,Outdoors,20.17,577,Male,28,Gagauz,16.91,1080
6,Toys,27.99,59,Male,30,Estonian,2.29,1080
12,Electronics,6.39,24,Non-binary,19,Spanish,15.7,1080
4,Toys,16.8,533,Male,37,Khmer,23.58,1080
2,Toys,15.59,174,Female,32,Kashmiri,4.9,1080
2,Computers,28.64,53,Male,17,German,14.54,1080
11,Electronics,23.57,742,Male,17,Tamil,1.13,1080
4,Sports,8.34,263,Female,33,Japanese,11.42,1080
4,Jewelry,13.97,463,Female,21,Swedish,13.52,1080
8,Kids,17.27,245,Female,24,French,20.91,1080
10,Computers,18.13,262,Male,22,Albanian,8.55,1080
4,Shoes,25.72,390,Female,32,Swati,24.89,1080
10,Grocery,16.77,16,Male,22,Amharic,17.83,1080
10,Games,16.06,156,Female,37,English,12.88,1080
6,Outdoors,21.13,6,Female,32,Maltese,14.97,1080
11,Health,0.02,970,Male,24,Tamil,19.47,1080
2,Beauty,9.28,711,Male,24,Luxembourgish,15.09,1080
2,Sports,12.46,379,Non-binary,38,Khmer,11.19,1080
1,Jewelry,23.53,935,Male,32,Danish,28.81,1080
11,Grocery,14.48,452,Non-binary,37,Malagasy,8.38,1080
6,Clothing,10.45,163,Agender,23,Burmese,29,1080
6,Jewelry,12.03,573,Male,34,Haitian Creole,0.44,1080
11,Beauty,21.24,613,Male,22,Hebrew,0.99,1080
2,Shoes,9.55,669,Male,28,Hungarian,16.02,1080
3,Games,1.64,105,Male,16,Italian,16.96,1080
2,Industrial,18.55,915,Male,17,Māori,2.51,1080
6,Tools,8.62,580,Genderqueer,20,Māori,14.4,1080
11,Kids,23.74,890,Female,23,Korean,10.99,1080
12,Electronics,19.31,321,Male,27,Tsonga,15.79,1080
12,Automotive,19.09,281,Male,17,Zulu,11.59,1080
10,Games,23.4,784,Bigender,16,Portuguese,27.12,1080
12,Grocery,15.52,464,Male,27,Dari,12,1080
11,Sports,26.86,509,Female,16,Georgian,25.83,1080
9,Industrial,12.45,92,Non-binary,26,Bislama,4.98,1080
9,Beauty,5,126,Male,17,Malagasy,15.66,1080
10,Jewelry,12.7,766,Female,20,Estonian,28.89,1080
3,Electronics,15.12,480,Male,20,New Zealand Sign Language,7.97,1080
12,Tools,5.06,771,Female,30,Luxembourgish,3.53,1080
9,Beauty,15.08,582,Non-binary,16,Ndebele,26.95,1080
3,Books,28.44,897,Female,38,Tsonga,10.96,1080
7,Home,0.67,511,Female,31,Lao,9.43,1080
11,Kids,17.57,62,Female,21,Quechua,18.09,1080
7,Clothing,13.92,621,Male,19,Lao,29.67,1080
4,Shoes,8.12,643,Agender,31,Kashmiri,5.05,1080
9,Automotive,0.39,338,Male,21,Haitian Creole,17.88,1080
8,Industrial,11.69,817,Male,39,Tsonga,5.2,1080
1,Shoes,0.25,976,Male,21,New Zealand Sign Language,7.63,1080
3,Grocery,8.04,851,Female,24,Arabic,8.92,1080
10,Garden,25.63,969,Male,27,Gagauz,25.22,1080
1,Toys,26.76,530,Female,32,Lithuanian,20.53,1080
8,Music,28.51,360,Male,18,Estonian,17.45,1080
12,Music,12.38,814,Female,36,Chinese,12.48,1080
1,Outdoors,19.6,384,Polygender,21,Bosnian,7.49,1080
1,Shoes,16.62,656,Female,26,West Frisian,19.51,1080
3,Outdoors,1.97,572,Female,35,Tajik,1.52,1080
1,Garden,24.75,256,Female,18,Malayalam,13.2,1080
6,Movies,21.03,269,Male,23,Persian,22.54,1080
9,Electronics,1.95,232,Male,29,Yiddish,12.43,1080
3,Tools,2.03,323,Male,19,Tsonga,24.38,1080
1,Sports,23.52,570,Male,33,Luxembourgish,2.16,1080
2,Baby,16.45,29,Male,23,Sotho,7.86,1080
10,Clothing,17.47,889,Male,38,Lao,20.74,1080
12,Computers,2.54,339,Male,27,Croatian,0.2,1080
5,Clothing,19.21,6,Male,27,Pashto,25.29,1080
8,Shoes,10.65,598,Bigender,25,Czech,12.31,1080
5,Games,26.58,315,Male,37,Moldovan,14.34,1080
5,Industrial,13.58,309,Male,27,Moldovan,26.46,1080
9,Games,15.35,480,Female,30,Malay,8.15,1080
1,Games,3.13,970,Female,22,Persian,26.41,1080
6,Home,18.01,917,Female,17,Zulu,21.92,1080
5,Electronics,27.75,677,Male,36,Montenegrin,12.05,1080
2,Beauty,22.01,428,Female,35,Japanese,21.31,1080
10,Health,12.51,789,Female,20,Telugu,22.39,1080
9,Outdoors,20.63,892,Female,28,Marathi,20.8,1080
12,Outdoors,2.06,610,Female,32,Czech,17.76,1080
3,Sports,19.29,682,Male,39,Croatian,16.92,1080
10,Toys,22.92,354,Male,38,Azeri,9.36,1080
8,Garden,14.45,516,Female,26,Tajik,28.37,1080
1,Grocery,5.01,213,Female,29,Kashmiri,0.93,1080
9,Grocery,28.01,964,Female,28,Hindi,22.99,1080
3,Jewelry,15.83,107,Female,31,Swedish,29.85,1080
6,Beauty,21.79,645,Male,24,Estonian,8.76,1080
12,Outdoors,8.19,206,Male,33,Bosnian,3.77,1080
6,Music,29.14,194,Genderqueer,36,Nepali,20.95,1080
5,Automotive,8.4,434,Agender,27,English,4.05,1080
6,Movies,7.1,194,Male,30,Fijian,17.58,1080
1,Movies,15.57,450,Female,34,Maltese,13.18,1080
7,Baby,3.76,742,Polygender,29,Kashmiri,18.79,1080
3,Computers,11.86,322,Male,24,Nepali,29.22,1080
5,Toys,24.18,517,Female,26,Romanian,24.34,1080
6,Grocery,2.41,870,Female,34,Lao,18.6,1080
7,Movies,4.25,997,Male,17,Czech,28.94,1080
3,Baby,22.1,211,Male,26,New Zealand Sign Language,9.2,1080
6,Tools,2.85,968,Bigender,31,Tetum,29.65,1080
11,Outdoors,22.19,49,Male,20,Telugu,27.92,1080
10,Music,0.49,948,Female,24,Malay,11.2,1080
8,Jewelry,2.03,244,Male,18,Dhivehi,28.66,1080
6,Jewelry,2.59,473,Female,16,Gagauz,1.51,1080
10,Beauty,27.58,439,Male,20,Catalan,18.59,1080
11,Tools,18.79,624,Male,35,Tamil,18.7,1080
10,Electronics,16.16,849,Female,24,Dhivehi,14.54,1080
10,Jewelry,23.81,45,Male,23,Armenian,21.71,1080
7,Baby,18.28,529,Female,23,Northern Sotho,3.38,1080
9,Beauty,9.4,182,Male,37,Croatian,8.52,1080
2,Grocery,3.8,38,Male,30,Dari,26.8,1080
2,Shoes,3.17,778,Female,20,Polish,18.19,1080
7,Beauty,1.01,541,Male,21,Maltese,5.65,1080
2,Sports,17.7,649,Male,17,Oriya,12.84,1080
6,Garden,0.56,675,Female,30,Māori,5.07,1080
2,Music,23.27,762,Male,23,Hiri Motu,9.28,1080
6,Shoes,7.26,497,Male,17,French,5.55,1080
10,Outdoors,28.54,381,Female,30,German,4.7,1080
5,Tools,14.91,289,Male,29,Kazakh,3.33,1080
8,Electronics,6.05,827,Male,17,Catalan,10.54,1080
12,Sports,3.6,851,Female,29,Fijian,25.83,1080
3,Books,21.25,772,Female,35,Romanian,17.27,1080
4,Automotive,12.09,963,Male,24,Albanian,23.44,1080
4,Computers,22.01,293,Female,24,Swati,25.18,1080
10,Garden,17.57,598,Polygender,39,Swedish,16.1,1080
8,Computers,0.01,1,Male,20,Estonian,7.3,1080
1,Home,24.34,466,Female,26,Persian,24.01,1080
12,Games,20.27,475,Male,18,Māori,16.08,1080
8,Tools,15.02,575,Male,38,Moldovan,27.76,1080
10,Tools,5.2,768,Male,24,Malay,28.41,1080
5,Computers,19.67,871,Female,17,West Frisian,10.06,1080
2,Beauty,0.4,44,Female,34,Dzongkha,29.11,1080
12,Home,23.53,290,Male,35,Marathi,23.31,1080
5,Baby,10.32,849,Female,28,Luxembourgish,1.17,1080
7,Kids,29.04,491,Male,38,German,4.49,1080
11,Baby,24.51,341,Female,25,Māori,9.23,1080
5,Home,12.18,560,Male,38,Bengali,26.34,1080
9,Garden,6.92,153,Agender,25,Tajik,4.14,1080
10,Books,7.77,788,Female,22,Hebrew,0.8,1080
11,Home,28.23,538,Female,28,Hebrew,20.93,1080
8,Baby,17.7,631,Female,38,Irish Gaelic,13.03,1080
11,Computers,5.78,23,Female,21,Montenegrin,21.28,1080
2,Baby,25.92,218,Female,31,Burmese,25.74,1080
7,Jewelry,18.31,977,Male,35,Gagauz,9.51,1080
11,Automotive,23.55,100,Male,40,Burmese,26.22,1080
6,Home,26.3,855,Genderfluid,19,Hindi,7.13,1080
2,Shoes,17.97,852,Genderqueer,35,Nepali,18.13,1080
4,Home,17.18,610,Male,30,Thai,24.38,1080
1,Beauty,12.37,299,Male,23,Albanian,3.77,1080
1,Automotive,10.99,261,Male,27,Tsonga,11.63,1080
4,Health,21.64,763,Female,18,Albanian,3.22,1080
6,Sports,27.6,87,Male,25,Tok Pisin,5.66,1080
5,Industrial,23.79,823,Female,29,Oriya,6.14,1080
12,Baby,4.03,185,Male,32,Kashmiri,6.16,1080
3,Electronics,8.63,301,Male,21,Azeri,14.87,1080
7,Computers,8.66,745,Female,33,Persian,17.23,1080
2,Baby,0.97,809,Male,28,Punjabi,8.01,1080
7,Grocery,10.01,27,Female,30,Yiddish,5.04,1080
6,Games,2.09,896,Female,35,Quechua,8.73,1080
4,Computers,24.93,114,Male,28,Kazakh,2.53,1080
9,Beauty,18.87,1000,Male,19,Dari,6.31,1080
8,Games,13.52,442,Male,19,Belarusian,14.82,1080
8,Health,5.37,378,Female,25,Gujarati,22.47,1080
11,Garden,11.72,176,Female,35,Guaraní,10.59,1080
1,Toys,20.41,374,Female,29,Haitian Creole,28.44,1080
11,Games,24.4,38,Female,19,Nepali,19.75,1080
1,Shoes,17.55,128,Polygender,28,Croatian,29.45,1080
8,Kids,23.54,707,Female,39,Oriya,29.98,1080
1,Games,14.3,940,Male,16,Portuguese,6.18,1080
4,Games,1.84,443,Male,36,Dutch,24.48,1080
9,Clothing,22.9,192,Female,23,Zulu,15.51,1080
6,Garden,19.23,267,Male,39,Macedonian,15.73,1080
12,Home,8.35,498,Female,18,Indonesian,6.43,1080
2,Shoes,20.85,690,Female,39,Dhivehi,28.36,1080
6,Toys,13.08,364,Female,29,Macedonian,19.22,1080
7,Kids,3.52,316,Female,19,Moldovan,0.41,1080
10,Automotive,25.36,480,Female,38,Hiri Motu,3.16,1080
6,Automotive,26.66,199,Female,18,Norwegian,19.09,1080
4,Home,22.97,908,Male,35,Bosnian,28.84,1080
8,Health,14.08,505,Female,19,Tsonga,23.32,1080
12,Clothing,22.66,552,Female,32,Tamil,2.88,1080
8,Toys,13.15,696,Male,20,Catalan,12.68,1080
10,Books,7.44,944,Male,22,Oriya,9.99,1080
10,Tools,11.59,528,Female,28,Danish,20.77,1080
2,Computers,17.44,483,Female,23,Danish,11.97,1080
12,Industrial,0.4,584,Female,33,Gagauz,3.2,1080
4,Books,11.84,868,Male,16,Guaraní,27.77,1080
8,Baby,19.87,773,Male,32,Spanish,13.97,1080
6,Music,27.17,658,Female,30,Indonesian,13.98,1080
5,Music,24.09,945,Female,35,Arabic,17.63,1080
12,Music,25.42,330,Female,28,Tamil,1.24,1080
1,Outdoors,22.38,671,Female,24,Greek,5.89,1080
3,Industrial,18.95,500,Female,30,Malay,24.17,1080
6,Outdoors,14.95,792,Male,31,Pashto,7.01,1080
7,Garden,4.64,621,Male,16,Arabic,13.19,1080
6,Beauty,7,418,Female,39,Portuguese,14.45,1080
3,Baby,15.47,400,Female,25,Irish Gaelic,16.83,1080
2,Tools,14.13,633,Male,20,Greek,7.75,1080
12,Music,26.91,821,Female,37,Fijian,11.5,1080
3,Automotive,10.86,544,Male,38,Tsonga,8.26,1080
6,Health,3.32,124,Female,17,Burmese,21.79,1080
9,Kids,23.79,899,Female,26,Estonian,9.72,1080
12,Baby,20.59,941,Female,23,Irish Gaelic,8.18,1080
3,Clothing,28.68,161,Male,22,Catalan,26.64,1080
4,Toys,2.16,775,Female,18,Kannada,14.32,1080
12,Books,28.66,199,Male,34,Thai,18.24,1080
6,Health,9.35,58,Male,21,Armenian,16.69,1080
3,Outdoors,26.63,146,Male,28,Kyrgyz,5.07,1080
5,Baby,28.86,214,Male,40,Dhivehi,4.08,1080
8,Beauty,22,243,Female,29,Kurdish,17.7,1080
1,Automotive,0.98,519,Male,36,Arabic,3,1080
2,Baby,28.81,485,Female,16,Polish,1.71,1080
9,Movies,28.02,795,Non-binary,38,Hindi,20.38,1080
10,Health,12.29,688,Male,22,Maltese,11.62,1080
11,Kids,1.19,787,Female,17,Belarusian,29.9,1080
7,Movies,8.36,372,Female,33,Kazakh,22.95,1080
3,Games,3.11,646,Male,22,Yiddish,20.67,1080
3,Toys,2.22,18,Female,39,Swati,28.64,1080
5,Kids,22.45,282,Male,16,Portuguese,11.15,1080
6,Garden,5.93,602,Female,25,Malagasy,19.81,1080
10,Outdoors,17.83,954,Male,32,Czech,25.89,1080
10,Clothing,26.4,830,Male,26,Amharic,2.54,1080
12,Games,28.99,984,Male,31,Thai,3.17,1080
2,Tools,19.88,601,Male,36,Kurdish,2.43,1080
2,Industrial,25.57,466,Female,32,Swahili,20.58,1080
8,Industrial,18.39,898,Male,33,Spanish,19.83,1080
6,Outdoors,0.53,530,Female,22,Malayalam,9.82,1080
9,Baby,4.27,610,Male,23,Kazakh,17.51,1080
4,Books,6.59,554,Male,22,Dhivehi,1.46,1080
8,Kids,22.31,51,Male,34,Marathi,16.96,1080
9,Kids,27,598,Female,20,Korean,11.37,1080
2,Music,15.91,905,Male,28,Bulgarian,9.05,1080
10,Kids,21.62,457,Female,25,Croatian,11.61,1080
