,Location,No_of_views
267,Bihar,179
268,NCT of Delhi,682
269,Assam,856
270,Tamil Nadu,616
271,Puducherry,974
272,Chhattisgarh,483
273,Karnataka,81
274,Sikkim,159
275,Daman & Diu,593
276,Nagaland,245
277,Manipur,173
278,Daman & Diu,458
279,Manipur,701
280,Chhattisgarh,746
281,Tamil Nadu,366
282,Rajasthan,818
283,Odisha,740
284,Meghalaya,686
285,Andhra Pradesh,529
286,Punjab,574
287,Dadara & Nagar Havelli,579
288,Lakshadweep,712
289,Manipur,421
290,West Bengal,847
291,Jharkhand,373
292,Tripura,476
293,Jharkhand,968
294,Gujarat,459
295,Madhya Pradesh,469
296,Nagaland,800
297,Dadara & Nagar Havelli,978
298,Odisha,940
299,Tamil Nadu,842
300,Dadara & Nagar Havelli,270
301,Tamil Nadu,477
302,Puducherry,344
303,Sikkim,531
304,Tamil Nadu,960
305,Jharkhand,52
306,Manipur,473
307,Rajasthan,948
308,Jammu & Kashmir,259
309,Puducherry,801
310,Tamil Nadu,500
311,Dadara & Nagar Havelli,0
312,Rajasthan,159
313,NCT of Delhi,555
314,Maharashtra,641
315,Gujarat,148
316,Nagaland,485
317,Puducherry,132
318,Chandigarh,134
319,Karnataka,767
320,Nagaland,973
321,Uttarakhand,590
322,Nagaland,37
323,Tamil Nadu,412
324,Gujarat,518
325,Karnataka,696
326,Chhattisgarh,619
327,Odisha,107
328,Lakshadweep,727
329,Rajasthan,695
330,Jharkhand,469
331,Nagaland,412
332,Haryana,500
333,Rajasthan,271
334,Daman & Diu,184
335,NCT of Delhi,414
336,Telangana,314
337,Maharashtra,917
338,Kerala,525
339,Lakshadweep,326
340,Andhra Pradesh,968
341,Mizoram,263
342,Dadara & Nagar Havelli,594
343,Bihar,639
344,Arunanchal Pradesh,790
345,Nagaland,412
346,Assam,259
347,Arunanchal Pradesh,286
348,Uttar Pradesh,589
349,Daman & Diu,807
350,Chandigarh,413
351,Goa,753
352,Mizoram,897
353,Meghalaya,664
354,Uttarakhand,856
355,Odisha,133
356,Chhattisgarh,965
357,Sikkim,672
358,Jammu & Kashmir,928
359,Dadara & Nagar Havelli,951
360,Nagaland,714
361,Assam,810
362,Andhra Pradesh,268
363,Bihar,37
364,West Bengal,26
365,Maharashtra,697
366,Tamil Nadu,937
367,Assam,896
368,Sikkim,643
369,Chandigarh,581
370,Sikkim,105
371,Chhattisgarh,398
372,Nagaland,468
373,Madhya Pradesh,572
374,Chandigarh,428
375,Assam,54
376,Gujarat,141
377,Himachal Pradesh,681
378,Himachal Pradesh,196
379,Manipur,359
380,Kerala,979
381,Tripura,641
382,Jammu & Kashmir,750
383,Himachal Pradesh,128
384,Nagaland,25
385,West Bengal,971
386,Meghalaya,775
387,Uttarakhand,731
388,West Bengal,783
389,Sikkim,259
390,Goa,752
391,Bihar,233
392,Bihar,116
393,Dadara & Nagar Havelli,445
394,Manipur,495
395,Haryana,777
396,NCT of Delhi,132
397,NCT of Delhi,26
398,Punjab,216
399,Chandigarh,843
400,Meghalaya,540
401,Goa,856
402,Uttar Pradesh,850
403,Arunanchal Pradesh,443
404,Uttarakhand,294
405,Goa,785
406,Mizoram,984
407,Lakshadweep,951
408,Mizoram,134
409,Andhra Pradesh,90
410,Punjab,105
411,Uttarakhand,237
412,NCT of Delhi,210
413,Sikkim,163
414,Odisha,918
415,Sikkim,186
416,Jammu & Kashmir,550
417,Chhattisgarh,507
418,Goa,465
419,Kerala,36
420,Lakshadweep,76
421,Uttarakhand,295
422,Andaman & Nicobar Island,935
423,Rajasthan,111
424,Uttarakhand,877
425,Meghalaya,669
426,Telangana,424
427,Meghalaya,790
428,Telangana,609
429,Madhya Pradesh,375
430,Gujarat,478
431,Tripura,754
432,Mizoram,337
433,Bihar,416
434,Sikkim,778
435,Punjab,802
436,Andhra Pradesh,127
437,NCT of Delhi,654
438,Jammu & Kashmir,138
439,Telangana,790
440,Meghalaya,527
441,Maharashtra,336
442,Karnataka,34
443,Andaman & Nicobar Island,30
444,Gujarat,274
445,Uttar Pradesh,745
446,Daman & Diu,89
447,Karnataka,943
448,Rajasthan,949
449,Andaman & Nicobar Island,295
450,Goa,981
451,Odisha,768
452,Chandigarh,422
453,Maharashtra,193
454,Haryana,152
455,Haryana,169
456,West Bengal,295
457,Puducherry,730
458,Dadara & Nagar Havelli,936
459,Meghalaya,991
460,Uttarakhand,96
461,Uttar Pradesh,549
462,Rajasthan,451
463,Mizoram,678
464,Goa,715
465,Gujarat,839
466,West Bengal,135
467,Tripura,60
468,Maharashtra,666
469,Meghalaya,676
470,Assam,74
471,Karnataka,30
472,Nagaland,142
473,Chhattisgarh,983
474,Daman & Diu,367
475,Nagaland,840
476,Puducherry,878
477,Manipur,246
478,Madhya Pradesh,432
479,Mizoram,297
480,Nagaland,271
481,Gujarat,948
482,Daman & Diu,698
483,NCT of Delhi,52
484,Tamil Nadu,829
485,Madhya Pradesh,783
486,Haryana,958
487,Andaman & Nicobar Island,594
488,Maharashtra,34
489,Andaman & Nicobar Island,262
490,NCT of Delhi,537
491,Manipur,534
492,Manipur,391
493,Uttar Pradesh,837
494,Tripura,102
495,Dadara & Nagar Havelli,524
496,Jharkhand,308
497,Sikkim,554
498,Kerala,903
499,Haryana,908
